Majority protein IDs,iBAQ C,iBAQ M,iBAQ MTBE
PGSC0003DMP400017953,20253000000,19620000000,18709000000
PGSC0003DMP400024808,12520000000,14362000000,14130000000
PGSC0003DMP400017944,11786000000,11658000000,13568000000
PGSC0003DMP400015381,9458900000,10698000000,10352000000
PGSC0003DMP400017933,8165300000,9030900000,5717600000
PGSC0003DMP400029876,4398700000,4524100000,3492100000
PGSC0003DMP400016822,4922700000,3983700000,2471800000
PGSC0003DMP400017946,1150400000,882500000,1101500000
PGSC0003DMP400002693,757000000,984390000,995530000
PGSC0003DMP400036451,769950000,925400000,992830000
PGSC0003DMP400017088,338530000,546060000,796370000
PGSC0003DMP400030948,485050000,570840000,656560000
PGSC0003DMP400011773,593780000,546400000,553610000
PGSC0003DMP400030463,399100000,574240000,534650000
PGSC0003DMP400005276,446950000,681080000,435820000
PGSC0003DMP400051216,312680000,344970000,373480000
PGSC0003DMP400004787,313830000,368870000,367430000
PGSC0003DMP400006205,255010000,46551000,329520000
PGSC0003DMP400034197,211970000,246250000,328820000
PGSC0003DMP400004377,218550000,284480000,309670000
PGSC0003DMP400052949,218490000,426950000,305480000
PGSC0003DMP400001384,281820000,327660000,272360000
PGSC0003DMP400022014,238030000,264770000,238650000
PGSC0003DMP400004893,228270000,259710000,237610000
PGSC0003DMP400013702,169550000,259590000,216060000
PGSC0003DMP400023600,154040000,194880000,209690000
PGSC0003DMP400040423,185140000,187310000,205290000
PGSC0003DMP400061588,148180000,151260000,190190000
PGSC0003DMP400021399,143470000,184290000,168140000
PGSC0003DMP400045979,172650000,173570000,162130000
PGSC0003DMP400044317,78244000,161170000,155990000
PGSC0003DMP400002952,152500000,109790000,148040000
PGSC0003DMP400031125,91839000,94452000,140820000
PGSC0003DMP400029983,127720000,127020000,139300000
PGSC0003DMP400051475,93018000,88026000,129750000
PGSC0003DMP400052673,85127000,93257000,123180000
PGSC0003DMP400035737,74336000,95545000,117770000
PGSC0003DMP400051845,125940000,134530000,116560000
PGSC0003DMP400023230,91185000,104450000,115940000
PGSC0003DMP400026740,6906600,102170000,112500000
PGSC0003DMP400036969,111000000,90925000,111730000
PGSC0003DMP400043210,61953000,78760000,106230000
PGSC0003DMP400003358,72653000,105700000,105990000
PGSC0003DMP400055850,38186000,89564000,100560000
PGSC0003DMP400047626,78441000,113590000,98615000
PGSC0003DMP400053155,55991000,62573000,87999000
PGSC0003DMP400053206,38584000,42265000,82556000
PGSC0003DMP400015010,528040000,432920000,82038000
PGSC0003DMP400015574,66816000,75916000,78918000
PGSC0003DMP400050915,35102000,73539000,77441000
PGSC0003DMP400004853,68092000,71126000,77353000
PGSC0003DMP400013674,131190000,30143000,75207000
PGSC0003DMP400000968,41476000,84329000,74605000
PGSC0003DMP400055728,50202000,62651000,73997000
PGSC0003DMP400040501,105600000,62515000,73693000
PGSC0003DMP400053435,56181000,72319000,73271000
PGSC0003DMP400038231,57433000,66308000,70398000
PGSC0003DMP400054296,43936000,73716000,68710000
PGSC0003DMP400020280,39270000,63365000,66202000
PGSC0003DMP400017954,331470000,235320000,66148000
PGSC0003DMP400042471,53865000,52214000,64727000
PGSC0003DMP400045763,70370000,43580000,64040000
PGSC0003DMP400005905,55659000,67142000,62564000
PGSC0003DMP400049096,54406000,26867000,61842000
PGSC0003DMP400034344,63353000,58806000,61745000
PGSC0003DMP400037969,386560000,289930000,60993000
PGSC0003DMP400068449,54371000,99510000,60910000
PGSC0003DMP400012382,42971000,42982000,60849000
PGSC0003DMP400042806,78476000,83784000,59976000
PGSC0003DMP400056197,56103000,55506000,59244000
PGSC0003DMP400011378,28703000,37351000,56655000
PGSC0003DMP400025192,31625000,72579000,56242000
PGSC0003DMP400043823,29180000,63875000,56239000
PGSC0003DMP400021836,36024000,62117000,56163000
PGSC0003DMP400049130,44658000,48899000,52922000
PGSC0003DMP400054973,58871000,59229000,52421000
PGSC0003DMP400004507,70219000,47243000,51757000
PGSC0003DMP400040823,40077000,84055000,50839000
PGSC0003DMP400048518,39520000,34668000,49635000
PGSC0003DMP400041677,45369000,40540000,48758000
PGSC0003DMP400011423,38768000,39316000,47442000
PGSC0003DMP400053597,39714000,91726000,47402000
PGSC0003DMP400023468,35178000,52991000,45818000
PGSC0003DMP400035894,13712000,22657000,43292000
PGSC0003DMP400050159,10112000,32265000,42929000
PGSC0003DMP400004905,45444000,67791000,42632000
PGSC0003DMP400010474,27146000,37260000,42410000
PGSC0003DMP400022582,28188000,49507000,42399000
PGSC0003DMP400041179,14128000,33208000,42299000
PGSC0003DMP400048253,44286000,53055000,40698000
PGSC0003DMP400057441,43600000,49790000,38461000
PGSC0003DMP400051165,29163000,25789000,38450000
PGSC0003DMP400045246,36841000,18328000,37594000
PGSC0003DMP400030693,28476000,39502000,37131000
PGSC0003DMP400053650,11369000,29136000,36826000
PGSC0003DMP400056301,37746000,47288000,36537000
PGSC0003DMP400025769,12766000,71687000,35652000
PGSC0003DMP400034764,8044800,9643600,35227000
PGSC0003DMP400037644,49963000,50418000,35122000
PGSC0003DMP400026753,4087100,4931600,33777000
PGSC0003DMP400006708,27114000,32672000,33462000
PGSC0003DMP400008075,27453000,55221000,33223000
PGSC0003DMP400037788,35048000,48976000,32894000
PGSC0003DMP400012430,23153000,33218000,32628000
PGSC0003DMP400025902,25239000,37971000,32571000
PGSC0003DMP400033537,17549000,20509000,32506000
PGSC0003DMP400040570,41888000,57791000,32455000
PGSC0003DMP400031856,38428000,53840000,32313000
