PGSC0003DMP400032614 PGSC0003DMT400048153 Protein,RecName: Full=Abscisic-aldehyde oxidase; AltName: Full=Aldehyde oxidase 3; Short=AO-3; Short=AtAO-3; Short=AtAO4; AltName: Full=Indole-3-acetaldehyde oxidase; Short=IAA oxidase [Arabidopsis thaliana],Q7G9P4,Cytoplasm, In higher plants aldehyde oxidases (AO) appear to be homo- and heterodimeric assemblies of AO subunits with probably different physiological functions. AO-delta may be involved in the last step of abscisic acid biosynthesis  at least in leaves and seeds. In vitro  AO-delta oxidizes abscisic aldehyde to abscisic acid (ABA) (PubMed:10972874). In vitro  AO-delta also uses 1-naphthaldehyde  indole-3-aldehyde (IAld)  benzaldehyde and cinnamaldehyde as substrate; the AAO2-AAO3 dimer also uses abscisic aldehyde as substrate, Abscisic acid biosynthesis,90639,0,89128,,,
PGSC0003DMP400045099 PGSC0003DMT400066877 Protein,RecName: Full=RGG repeats nuclear RNA binding protein A; Short=AtRGGA [Arabidopsis thaliana],O23523,Cytoplasm  perinuclear region, Ribosome-binding protein that acts as a regulator of mRNA translation by promoting ribosome inactivation (By similarity). Binds RNA (PubMed:25783413). Regulates responses to abscisic acid (ABA) (PubMed:25783413). Promotes stomata closure in drought conditions (PubMed:25783413). Involved in resistance to salt and drought stresses via the accumulation of Pro (PubMed:25783413), Abscisic acid signaling pathway,3517500,222840,4902700,,,
PGSC0003DMP400020837 PGSC0003DMT400030679 Protein,RecName: Full=COP1-interactive protein 1 [Arabidopsis thaliana],F4JZY1,Cell membrane, Positive regulator of abscisic acid (ABA)-mediated signaling pathways involved in abiotic stress responses (e.g. osmotic stress) and leading to various plant adaptation (e.g. stomata closure), Abscisic acid signaling pathway,1492800,2182600,2116400,,,
PGSC0003DMP400049374 PGSC0003DMT400072972 Protein,RecName: Full=Nodulin-related protein 1; Short=AtNRP1; AltName: Full=RPS2-interacting protein 11 [Arabidopsis thaliana],Q9ZQ80,Subcellular location information not found., Prevents accumulation of abscisic acid (ABA) after heat treatment  thus reducing thermotolerance. May be a negative regulator of the ABA signaling/synthesis pathway (PubMed:20016941). Required for defense responses against avirulent bacteria such as P.syringae pv. tomato DC3000 (avrRpt2) (Ref.5), Abscisic acid signaling pathway,9781300,7278600,824480,,,
PGSC0003DMP400003407 PGSC0003DMT400004808 Protein,RecName: Full=Phosphomannomutase/phosphoglucomutase; Short=PMM / PGM [Pseudomonas putida KT2440],Q88C93,Subcellular location information not found., The phosphomannomutase activity produces a precursor for alginate polymerization. The alginate layer causes a mucoid phenotype and provides a protective barrier against host immune defenses and antibiotics. Also involved in core-LPS biosynthesis due to its phosphoglucomutase activity. Essential for biofilm production (By similarity), Alginate biosynthesis,1363300,1904700,2572700,,,
PGSC0003DMP400011423 PGSC0003DMT400016484 Protein,RecName: Full=Perakine reductase [Rauvolfia serpentina],Q3L181,Subcellular location information not found., Aldo-keto reductase involved in the biosynthesis of monoterpenoid indole alkaloids. Broad substrate specificity enzyme with a high selectivity in the group of alkaloids. Can use perakine  19(S) 20(R)-dihydro-peraksine-17 21-al  cinnamic aldehyde  p-coumaric aldehyde and 3-(3 4 5-trimethoxyphenyl)propanal as substrates  but not ketosteroids such as progesterone. NADPH could not be replaced by NADH, Alkaloid metabolism,38768000,39316000,47442000,,,
PGSC0003DMP400048869 PGSC0003DMT400072279 Protein,RecName: Full=5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase; AltName: Full=Cobalamin-independent methionine synthase isozyme; AltName: Full=Vitamin-B12-independent methionine synthase isozyme [Catharanthus roseus],Q42699,Cytoplasm, Catalyzes the transfer of a methyl group from 5-methyltetrahydrofolate to homocysteine resulting in methionine formation, Amino-acid biosynthesis,22260000,30481000,24345000,,,
PGSC0003DMP400035517 PGSC0003DMT400052673 Protein,RecName: Full=Ketol-acid reductoisomerase; chloroplastic; AltName: Full=Acetohydroxy-acid reductoisomerase; AltName: Full=Alpha-keto-beta-hydroxylacyl reductoisomerase; Flags: Precursor [Spinacia oleracea],Q01292,Plastid  chloroplast, Function information not found., Amino-acid biosynthesis,17588000,15106000,14669000,,,
PGSC0003DMP400043749 PGSC0003DMT400064893 Protein,RecName: Full=Methylthioribose-1-phosphate isomerase; Short=M1Pi; Short=MTR-1-P isomerase; AltName: Full=S-methyl-5-thioribose-1-phosphate isomerase; AltName: Full=Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein [Nicotiana tabacum],Q948X8,Cytoplasm, Catalyzes the interconversion of methylthioribose-1-phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P), Amino-acid biosynthesis,9665900,12488000,11661000,,,
PGSC0003DMP400049228 PGSC0003DMT400072766 Protein,RecName: Full=Argininosuccinate synthase; chloroplastic; AltName: Full=Citrulline--aspartate ligase; Flags: Precursor [Arabidopsis thaliana],Q9SZX3,Plastid  chloroplast, Function information not found., Amino-acid biosynthesis,6720400,8317900,9380800,,,
