RecName: Full=Cysteine protease inhibitor 8; AltName: Full=PCPI-8; Short=Pcpi8; Flags: Precursor [Solanum tuberosum],O24384,Vacuole,,,,,,Vacuole,14
RecName: Full=Patatin-2-Kuras 4; Flags: Precursor [Solanum tuberosum],Q3YJT0,Vacuole,,,,,,Cytoplasm,227
RecName: Full=Cysteine protease inhibitor 1; AltName: Full=P340; AltName: Full=P34021; AltName: Full=PCPI 8.3; Flags: Precursor [Solanum tuberosum],P20347,Vacuole,,,,,,Plastid,135
RecName: Full=Patatin-05; AltName: Full=Patatin-1-Kuras 1; Flags: Precursor [Solanum tuberosum],Q3YJT5,Vacuole,,,,,,Membrane,12
RecName: Full=Serine protease inhibitor 7; AltName: Full=PIGEN1; Short=PIG; AltName: Full=STPIA; AltName: Full=STPIB; AltName: Full=pF4; AltName: Full=pKEN14-28; AltName: Allergen=Sola t 4; Flags: Precursor [Solanum tuberosum],P30941,Vacuole,,,,,,Nucleus,62
RecName: Full=Patatin-2-Kuras 4; Flags: Precursor [Solanum tuberosum],Q3YJT0,Vacuole,,,,,,Peroxisome,8
RecName: Full=Aspartic protease inhibitor 8; Short=API; Short=API-8; Short=PI-8; Short=pi8; AltName: Full=Cathepsin D inhibitor; Flags: Precursor [Solanum tuberosum],P17979,Vacuole,,,,,,Cell membrane,30
RecName: Full=Miraculin; Short=MIR; Flags: Precursor [Synsepalum dulcificum],P13087,Subcellular location information not found.,,,,,,Secreted,37
RecName: Full=Pathogenesis-related protein STH-2 [Solanum tuberosum],P17642,Subcellular location information not found.,,,,,,Mitochondrion,41
RecName: Full=Linoleate 9S-lipoxygenase 2; AltName: Full=Lipoxygenase 1-2 [Solanum tuberosum],O24379,Cytoplasm,,,,,,Mitochondrion inner membrane,15
RecName: Full=Outer envelope pore protein 16; chloroplastic; AltName: Full=Chloroplastic outer envelope pore protein of 16 kDa [Pisum sativum],Q41050,Plastid, chloroplast outer membrane,,,,,Vacuole membrane,5
RecName: Full=Annexin Gh1; Short=Anx(Gh1) [Gossypium hirsutum],P93157,Membrane,,,,,,Endoplasmic reticulum lumen,13
RecName: Full=Abscisic stress-ripening protein 1 [Solanum lycopersicum],Q08655,Nucleus,,,,,,Endoplasmic reticulum,3
RecName: Full=Glyceraldehyde-3-phosphate dehydrogenase GAPC2; cytosolic; AltName: Full=NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 2 [Arabidopsis thaliana],Q9FX54,Cytoplasm,,,,,,Mitochondrion matrix,19
RecName: Full=18.2 kDa class I heat shock protein [Medicago sativa],P27880,Cytoplasm,,,,,,Nucleus membrane,1
